prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
carATTIC,29.64903,-82.341675,Carleton Auditorium - Attic,academic,0,1,0,1,0,0,0,0,0,1,0,0,2,0,4,2,8,7,12,9,11,13,15,21,32,27,24,10,6,9,3,2,1,2,2,1,3,0,1,0,1,0,1,1,1,1,0,1,41
cbd,29.652971,-82.342913,Classroom Building 105,academic,0,4,0,1,0,0,0,0,0,0,0,0,2,0,2,18,21,13,38,35,39,31,30,24,21,27,21,7,5,6,1,5,2,6,1,2,2,1,1,1,0,1,0,1,3,1,1,4,38
cenx,29.643928,-82.343066,Centrex Building,police,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
che,29.64272,-82.347873,Dept. of Chemical Engineering,academic,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,8,3,7,8,12,18,9,12,15,16,19,20,13,9,9,6,6,9,5,3,0,1,0,0,2,1,0,0,0,0,0,0,0,29
clb,29.650947,-82.344073,Chemistry Lab,academic,1,3,0,1,0,1,0,1,0,1,0,0,0,0,5,12,8,10,29,64,49,73,56,48,56,39,22,59,44,25,15,23,9,13,10,7,7,9,2,2,2,4,1,2,1,7,1,5,96
con,29.64635,-82.346664,Constans Theatre,social,2,1,0,0,1,0,1,0,0,0,0,0,0,2,3,3,9,25,23,26,26,22,14,37,26,23,16,37,21,24,11,23,12,19,10,13,7,18,9,8,33,11,4,1,4,6,2,5,47
conG,29.64635,-82.346664,Constans Theatre,social,2,1,0,0,1,0,1,0,0,0,0,0,0,2,3,3,9,25,23,26,26,22,14,37,26,23,16,37,21,24,11,23,12,19,10,13,7,18,9,8,33,11,4,1,4,6,2,5,47
crec,29.639071,-82.368803,Center for Outdoor Rec. & Educ.,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crecxxxrxx,29.639071,-82.368803,Center for Outdoor Rec. & Educ.,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cris,29.65013,-82.341602,Criser Hall,admin,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,8,4,7,9,11,17,14,11,16,12,15,9,10,14,15,23,3,13,2,2,3,1,2,1,0,1,0,2,1,0,0,0,0,31
criv,29.65013,-82.341602,Criser Hall,admin,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,8,4,7,9,11,17,14,11,16,12,15,9,10,14,15,23,3,13,2,2,3,1,2,1,0,1,0,2,1,0,0,0,0,31
